"","lat","lon","type"
"350",37.5927256,127.0143297,"bell"
"351",37.5956151,127.0212433,"bell"
"352",37.5948014,127.0221067,"bell"
"353",37.601153,127.0253927,"bell"
"354",37.5988924,127.0209434,"bell"
"355",37.5984735,127.0210677,"bell"
"356",37.5974374,127.0100538,"bell"
"357",37.5889188,127.0184203,"bell"
"358",37.586838,127.0297461,"bell"
"359",37.5820506,127.021644,"bell"
"360",37.5841368,127.0209204,"bell"
"361",37.6117097,127.0138198,"bell"
"362",37.60522,127.0161309,"bell"
"363",37.6008216,127.021396,"bell"
"364",37.6076104,127.0155954,"bell"
"365",37.6010902,127.0088718,"bell"
"366",37.599201,127.0094461,"bell"
"367",37.6076938,127.0129554,"bell"
"368",37.6080667,127.0093965,"bell"
"369",37.6102578,126.9944486,"bell"
"370",37.6078962,126.999227,"bell"
"371",37.6125825,126.9991246,"bell"
"372",37.6142866,126.9997836,"bell"
"373",37.6097096,126.9995991,"bell"
"374",37.6153882,127.0026164,"bell"
"375",37.6113851,127.0082017,"bell"
"376",37.6113642,127.0124709,"bell"
"377",37.6059491,127.0197045,"bell"
"378",37.60665382,127.019452,"bell"
"379",37.6056435,127.030178,"bell"
"380",37.6125736,127.0412367,"bell"
"381",37.6059425,127.0250221,"bell"
"382",37.6079937,127.024864,"bell"
"383",37.5993742,127.028324,"bell"
"384",37.5984566,127.0305861,"bell"
"385",37.5950868,127.0374208,"bell"
"386",37.600571,127.0394701,"bell"
"387",37.6046282,127.0368029,"bell"
"388",37.6057824,127.0334957,"bell"
"389",37.6100668,127.0350339,"bell"
"390",37.6094066,127.0339619,"bell"
"391",37.6043904,127.0394652,"bell"
"392",37.6049092,127.043547,"bell"
"393",37.5962529,127.0413171,"bell"
"394",37.6028773,127.0433125,"bell"
"395",37.6058271,127.0430731,"bell"
"396",37.6197319,127.048424,"bell"
"397",37.6123604,127.0453872,"bell"
"398",37.6149274,127.0422746,"bell"
"399",37.6183291,127.04509,"bell"
"400",37.608681,127.0486792,"bell"
"401",37.6156038,127.0525124,"bell"
"402",37.6126846,127.051513,"bell"
"403",37.6139534,127.0514233,"bell"
"404",37.6167672,127.0530934,"bell"
"405",37.6141908,127.0583376,"bell"
"406",37.614264,127.061985,"bell"
"407",37.6165617,127.0584878,"bell"
"408",37.6124093,127.0582015,"bell"
"409",37.6124463,127.0631926,"bell"
"410",37.6100008,127.0645462,"bell"
"411",37.6086436,127.0639504,"bell"
"412",37.6122675,127.0656493,"bell"
"413",37.6091827,127.0647739,"bell"
"414",37.6079202,127.0640762,"bell"
"415",37.6088915,127.0583024,"bell"
"416",37.6096719,127.0573004,"bell"
